"year","value","variable","ensemble","model","experiment"
1850,0.592644274234772,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1851,0.750255525112152,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1852,0.309087961912155,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1853,0.700794100761414,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1854,0.88177102804184,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1855,0.422506481409073,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1856,0.249696478247643,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1857,-0.545986294746399,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1858,0.580866992473602,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1859,0.437045693397522,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1860,0.80082494020462,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1861,1.34116268157959,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1862,0.904878437519073,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1863,-0.045129332691431,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1864,0.729728102684021,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1865,0.368552684783936,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1866,0.878325641155243,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1867,0.731004536151886,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1868,0.594680070877075,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1869,0.440938085317612,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1870,0.696054220199585,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1871,0.650782287120819,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1872,0.834022641181946,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1873,0.715166330337524,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1874,0.548250615596771,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1875,0.657718598842621,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1876,0.11173590272665,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1877,0.969247400760651,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1878,0.62129670381546,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1879,0.754463315010071,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1880,0.682035386562347,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1881,1.03160381317139,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1882,0.729244768619537,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1883,-1.01904726028442,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1884,-2.01174402236938,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1885,0.0625110790133476,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1886,1.64501750469208,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1887,0.716520488262177,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1888,1.10246860980988,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1889,0.805034041404724,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1890,-1.20133185386658,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1891,-0.285738557577133,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1892,1.20455920696259,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1893,1.48132979869843,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1894,1.18182361125946,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1895,1.27786552906036,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1896,0.781822323799133,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1897,1.0511189699173,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1898,0.995675802230835,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1899,0.54423201084137,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1900,0.935917973518372,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1901,1.08765149116516,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1902,-0.116783820092678,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1903,-1.97415792942047,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1904,0.234644815325737,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1905,1.19750201702118,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1906,1.2218736410141,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1907,1.38828635215759,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1908,1.17571365833282,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1909,1.18772208690643,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1910,1.10144889354706,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1911,0.955104529857635,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1912,0.374729514122009,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1913,0.35608896613121,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1914,0.896491229534149,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1915,1.4681624174118,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1916,0.701681613922119,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1917,0.720667898654938,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1918,0.933355271816254,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1919,0.904659688472748,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1920,0.904972970485687,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1921,0.227389618754387,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1922,0.298465996980667,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1923,0.93711256980896,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1924,0.878100156784058,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1925,0.790039360523224,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1926,1.0631023645401,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1927,0.861102342605591,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1928,0.334722906351089,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1929,0.335666805505753,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1930,0.793229401111603,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1931,0.882680594921112,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1932,0.430414736270905,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1933,0.714425265789032,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1934,1.03466737270355,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1935,1.21398043632507,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1936,0.761843264102936,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1937,0.977593898773193,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1938,0.93907231092453,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1939,0.768559813499451,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1940,0.30284196138382,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1941,1.3838951587677,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1942,1.07116758823395,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1943,0.835906386375427,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1944,1.10225987434387,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1945,0.766337633132935,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1946,1.00311851501465,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1947,0.895232141017914,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1948,0.821792364120483,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1949,1.12027382850647,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1950,0.567320704460144,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1951,0.60114449262619,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1952,0.838930606842041,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1953,0.955091953277588,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1954,1.61289012432098,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1955,0.703080713748932,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1956,1.54086327552795,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1957,1.35222041606903,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1958,0.801287710666656,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1959,0.723905682563782,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1960,0.875876188278198,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1961,0.906159579753876,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1962,0.947060227394104,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1963,-0.959168195724487,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1964,-0.201949447393417,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1965,0.937176465988159,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1966,1.29430019855499,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1967,1.35723149776459,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1968,1.02054905891418,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1969,1.32976186275482,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1970,0.91689521074295,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1971,1.24683237075806,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1972,1.23485112190247,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1973,1.21213459968567,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1974,1.0811733007431,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1975,0.482442528009415,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1976,0.850109100341797,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1977,1.06207275390625,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1978,1.11066389083862,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1979,1.26458752155304,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1980,1.39557003974915,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1981,1.09389352798462,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1982,-0.0740307942032814,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1983,-0.0843203142285347,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1984,1.49376356601715,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1985,1.66523349285126,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1986,1.53587973117828,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1987,1.52348935604095,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1988,1.87072145938873,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1989,1.84948360919952,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1990,1.3878812789917,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1991,0.0959871932864189,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1992,-0.562431752681732,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1993,1.70759773254395,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1994,2.01689791679382,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1995,1.95506775379181,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1996,1.90536677837372,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1997,1.96918499469757,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1998,1.84057152271271,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1999,2.34017944335938,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
2000,1.38932049274445,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
2001,1.68972408771515,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
2002,2.15071892738342,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
2003,1.01204597949982,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
2004,1.84950196743011,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
2005,1.49929523468018,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
2006,1.93746161460876,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
2007,1.7152316570282,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
2008,1.74435603618622,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
2009,1.71285092830658,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
2010,2.03681874275208,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
2011,1.68215835094452,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
2012,1.65266537666321,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical"
1850,-0.190363124012947,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1851,1.79295635223389,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1852,1.69082391262054,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1853,0.944069147109985,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1854,0.556517720222473,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1855,0.988242566585541,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1856,1.8380321264267,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1857,0.90154629945755,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1858,1.15930962562561,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1859,1.50046932697296,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1860,0.721757531166077,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1861,1.37803900241852,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1862,1.41556906700134,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1863,1.01389646530151,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1864,0.88499528169632,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1865,0.622349619865417,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1866,1.18181478977203,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1867,1.92275369167328,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1868,1.15107476711273,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1869,0.245206370949745,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1870,1.12274420261383,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1871,2.08862996101379,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1872,1.37952280044556,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1873,1.28290557861328,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1874,0.627745985984802,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1875,1.544353723526,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1876,1.64130687713623,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1877,0.814403533935547,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1878,1.03956317901611,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1879,0.906395018100739,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1880,0.915144264698029,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1881,1.03783750534058,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1882,1.29030966758728,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1883,-0.25822925567627,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1884,-2.64181351661682,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1885,1.03742659091949,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1886,1.48528146743774,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1887,2.22090482711792,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1888,2.03352117538452,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1889,1.45316362380981,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1890,-1.4097775220871,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1891,1.00466656684875,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1892,2.27230048179626,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1893,0.971884727478027,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1894,1.93918120861053,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1895,1.11262738704681,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1896,1.48206961154938,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1897,1.34710323810577,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1898,1.6252521276474,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1899,1.31865262985229,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1900,0.794962704181671,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1901,1.86731505393982,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1902,0.715709507465363,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1903,-1.69534027576447,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1904,-0.148773565888405,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1905,1.68292427062988,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1906,2.4143340587616,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1907,1.0754234790802,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1908,1.35588884353638,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1909,1.26045250892639,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1910,1.94561743736267,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1911,1.78075349330902,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1912,0.69182151556015,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1913,2.12695384025574,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1914,2.02088069915771,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1915,1.29492568969727,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1916,0.916877090930939,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1917,1.76402544975281,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1918,1.23490428924561,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1919,0.146983981132507,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1920,1.67547690868378,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1921,2.4667661190033,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1922,1.23826813697815,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1923,0.851600706577301,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1924,1.49123740196228,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1925,1.59857213497162,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1926,0.824600458145142,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1927,1.57944977283478,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1928,0.886529743671417,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1929,0.27912038564682,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1930,2.34815454483032,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1931,1.22395598888397,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1932,1.08400547504425,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1933,1.91974079608917,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1934,0.705693304538727,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1935,1.54045474529266,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1936,1.96037495136261,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1937,1.17116153240204,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1938,1.88390564918518,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1939,2.03572511672974,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1940,1.8811799287796,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1941,0.831336796283722,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1942,1.22422087192535,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1943,1.41327226161957,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1944,2.27840662002563,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1945,1.9903746843338,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1946,1.21224796772003,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1947,1.85918462276459,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1948,1.28139710426331,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1949,1.67473936080933,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1950,1.4375159740448,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1951,1.05923283100128,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1952,1.37109279632568,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1953,1.95866143703461,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1954,1.15076553821564,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1955,0.792037546634674,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1956,1.97213351726532,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1957,2.62047004699707,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1958,0.974807500839233,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1959,0.850613176822662,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1960,1.69026255607605,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1961,2.13269066810608,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1962,1.70750188827515,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1963,-0.737263262271881,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1964,-0.159834310412407,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1965,2.31589841842651,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1966,1.69000864028931,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1967,1.46597290039062,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1968,1.47817504405975,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1969,1.36957943439484,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1970,1.18408167362213,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1971,1.37449419498444,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1972,2.67478442192078,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1973,1.30785977840424,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1974,1.5299357175827,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1975,1.22207033634186,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1976,1.53596222400665,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1977,2.05620098114014,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1978,1.90156257152557,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1979,1.90269505977631,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1980,1.44696342945099,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1981,2.46510410308838,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1982,1.11484134197235,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1983,0.66213071346283,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1984,2.3132016658783,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1985,2.19632124900818,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1986,1.65889155864716,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1987,3.03945660591125,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1988,2.66812562942505,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1989,2.5083920955658,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1990,2.92402124404907,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1991,0.284530103206635,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1992,-0.387254685163498,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1993,2.0438506603241,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1994,2.87304353713989,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1995,2.85157537460327,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1996,2.76695609092712,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1997,1.76796460151672,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1998,2.45986223220825,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1999,3.36670112609863,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
2000,3.43347311019897,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
2001,2.50093603134155,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
2002,3.38243746757507,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
2003,2.45182013511658,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
2004,2.55954813957214,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
2005,2.06012749671936,"heatflux","r1i1p1","BNU-ESM","esmHistorical"
1850,-0.19070240855217,"heatflux","r1i1p1","CanESM2","esmHistorical"
1851,0.195353463292122,"heatflux","r1i1p1","CanESM2","esmHistorical"
1852,-0.127185299992561,"heatflux","r1i1p1","CanESM2","esmHistorical"
1853,-0.557861685752869,"heatflux","r1i1p1","CanESM2","esmHistorical"
1854,-0.21067501604557,"heatflux","r1i1p1","CanESM2","esmHistorical"
1855,0.155248999595642,"heatflux","r1i1p1","CanESM2","esmHistorical"
1856,-0.358569145202637,"heatflux","r1i1p1","CanESM2","esmHistorical"
1857,-1.46827566623688,"heatflux","r1i1p1","CanESM2","esmHistorical"
1858,-0.395849019289017,"heatflux","r1i1p1","CanESM2","esmHistorical"
1859,0.50279575586319,"heatflux","r1i1p1","CanESM2","esmHistorical"
1860,-0.0342187993228436,"heatflux","r1i1p1","CanESM2","esmHistorical"
1861,0.432507514953613,"heatflux","r1i1p1","CanESM2","esmHistorical"
1862,0.244099035859108,"heatflux","r1i1p1","CanESM2","esmHistorical"
1863,-0.100103095173836,"heatflux","r1i1p1","CanESM2","esmHistorical"
1864,0.0715174376964569,"heatflux","r1i1p1","CanESM2","esmHistorical"
1865,0.382754683494568,"heatflux","r1i1p1","CanESM2","esmHistorical"
1866,-0.0197599101811647,"heatflux","r1i1p1","CanESM2","esmHistorical"
1867,-0.225426912307739,"heatflux","r1i1p1","CanESM2","esmHistorical"
1868,-0.194654807448387,"heatflux","r1i1p1","CanESM2","esmHistorical"
1869,-0.108192749321461,"heatflux","r1i1p1","CanESM2","esmHistorical"
1870,0.759280204772949,"heatflux","r1i1p1","CanESM2","esmHistorical"
1871,-0.0464596264064312,"heatflux","r1i1p1","CanESM2","esmHistorical"
